#! FIELDS time rct DeltaF_300 DeltaF_317.702 DeltaF_336.449 DeltaF_356.302 DeltaF_377.326 DeltaF_399.591 DeltaF_423.17 DeltaF_448.14 DeltaF_474.584 DeltaF_502.588 DeltaF_532.244 DeltaF_563.651 DeltaF_596.91 DeltaF_632.132 DeltaF_669.433 DeltaF_708.934 DeltaF_750.767 DeltaF_795.068 DeltaF_841.982 DeltaF_891.666 DeltaF_944.28 DeltaF_1000
#! SET print_stride  100
                    420                      0     -1990684.415374708     -1768840.489183751     -1559357.640491468     -1361547.122849351     -1174758.572164918     -998377.8744249165     -831825.1592686458     -674552.9196695153     -526044.2656955961     -385811.3524707184     -253394.2037788592     -128360.3053085009     -10302.12463828502      101167.9854437475      206416.5557844969      305791.9610760883      399627.2807333729      488233.5371605986      571902.5585221717      650909.5455614908      725514.2901109933      795962.0904032936
                    424     -10.34632299260447     -1990978.661073229     -1768827.812162498     -1559344.963486257     -1361534.445948028     -1174745.895869921     -998365.2013224331     -831812.5012310002     -674540.3239228767     -526031.8851588815     -385799.5909484198     -253384.5220705874      -128355.904356661     -10301.93701435985      101168.0609266239      206418.5793673758      305794.4815857588      399625.6862352486      488221.1308464652       571872.334195077      650856.2711672627      725433.6238103003      795849.8241291862
                    428     -8.782048782280306     -1991219.777512964     -1768823.755276544     -1559340.024324618     -1361529.521144529     -1174740.986765376     -998360.3082929528      -831807.622523808     -674535.4531370926     -526027.0071359111     -385794.6857347697       -253379.78077217     -128352.8341994885      -10301.6631293078       101164.658608346      206411.5827250314      305785.5418031171      399615.8146809065      488211.1388618209      571862.1503956531      650845.7577146221      725423.3629296315      795840.5749090967
                    432     -9.610944436272662     -1991416.278271133     -1768822.569717599     -1559338.838765672     -1361528.335585583      -1174739.80120643     -998359.1227340068      -831806.436964862     -674534.2675781474     -526025.8215774143     -385793.5003403393     -253378.6170499354     -128351.9957560606     -10301.57721137983      101163.4001181649      206408.8560961436      305782.6470403506      399612.5834400853      488207.4851059107      571859.2460038394       650843.542428785      725421.3737607765      795839.3006338001
                    436     -10.90761792891128     -1991593.927294912      -1768851.11642943     -1559338.704431293     -1361528.201251207     -1174739.666872125      -998358.988401392      -831806.302664956      -674534.133783292     -526025.6936709711     -385793.4171538552     -253378.6524107673     -128351.9514603259     -10301.56814759199      101163.3959848034      206408.9628907682       305782.780035629      399612.7177547716      488207.6194401974      571859.3803382183      650843.6767631641      725421.5080951556      795839.4349681792
                    440     -12.01832035004917     -1991760.574275971     -1768894.065215767     -1559338.704431293     -1361528.201251207     -1174739.666872125      -998358.988401392      -831806.302664956      -674534.133783292     -526025.6936709711     -385793.4171538552     -253378.6524107673     -128351.9514603259     -10301.56814759199      101163.3959848034      206408.9628907682       305782.780035629      399612.7177547716      488207.6194401974      571859.3803382183      650843.6767631641      725421.5080951556      795839.4349681792
                    444      -12.9262039050568     -1991891.100537813     -1768980.488896692     -1559338.704431293     -1361528.201251207     -1174739.666872125      -998358.988401392      -831806.302664956      -674534.133783292     -526025.6936709711     -385793.4171538552     -253378.6524107673     -128351.9514603259     -10301.56814759199      101163.3959848034      206408.9628907682       305782.780035629      399612.7177547716      488207.6194401974      571859.3803382183      650843.6767631641      725421.5080951556      795839.4349681792
                    448     -13.69402595120994     -1991997.606518659     -1769091.895164294     -1559338.704431298     -1361528.201251207     -1174739.666872125      -998358.988401392      -831806.302664956      -674534.133783292     -526025.6936709711     -385793.4171538552     -253378.6524107673     -128351.9514603259     -10301.56814759199      101163.3959848034      206408.9628907682       305782.780035629      399612.7177547716      488207.6194401974      571859.3803382183      650843.6767631641      725421.5080951556      795839.4349681792
                    452     -14.35928132935181     -1992041.039589886     -1769215.291137231      -1559389.09846465     -1361528.201251207     -1174739.666872125      -998358.988401392      -831806.302664956      -674534.133783292     -526025.6936709711     -385793.4171538552     -253378.6524107673     -128351.9514603259     -10301.56814759199      101163.3959848034      206408.9628907682       305782.780035629      399612.7177547716      488207.6194401974      571859.3803382183      650843.6767631641      725421.5080951556      795839.4349681792
                    456     -14.94617082611097     -1992056.414670063     -1769286.636686224     -1559519.637578659     -1361528.211602483     -1174739.666872125      -998358.988401392      -831806.302664956      -674534.133783292     -526025.6936709711     -385793.4171538552     -253378.6524107673     -128351.9514603259     -10301.56814759199      101163.3959848034      206408.9628907682       305782.780035629      399612.7177547716      488207.6194401974      571859.3803382183      650843.6767631641      725421.5080951556      795839.4349681792
                    460     -15.47122672167598     -1992056.414670063     -1769345.012774101     -1559606.358491497     -1361605.404356312     -1174739.668127643      -998358.988401392      -831806.302664956      -674534.133783292     -526025.6936709711     -385793.4171538552     -253378.6524107673     -128351.9514603259     -10301.56814759199      101163.3959848034      206408.9628907682       305782.780035629      399612.7177547716      488207.6194401974      571859.3803382183      650843.6767631641      725421.5080951556      795839.4349681792
                    464      -15.9462453646864     -1992056.414670063     -1769385.119498302     -1559671.316004764     -1361690.973206267     -1174773.750122922     -998358.9884621649      -831806.302664956      -674534.133783292     -526025.6936709711     -385793.4171538552     -253378.6524107673     -128351.9514603259     -10301.56814759199      101163.3959848034      206408.9628907682       305782.780035629      399612.7177547716      488207.6194401974      571859.3803382183      650843.6767631641      725421.5080951556      795839.4349681792
