#! FIELDS time rct DeltaF_200 DeltaF_212.928 DeltaF_226.692 DeltaF_241.346 DeltaF_256.947 DeltaF_273.556 DeltaF_291.24 DeltaF_310.066 DeltaF_330.109 DeltaF_351.448 DeltaF_374.166 DeltaF_398.352 DeltaF_424.102 DeltaF_451.517 DeltaF_480.704 DeltaF_511.777 DeltaF_544.859 DeltaF_580.08 DeltaF_617.577 DeltaF_657.498 DeltaF_700
#! SET print_stride  100
                    420                      0     -2001590.828563153     -1758527.956134138     -1530223.109337823     -1315780.235202452     -1114357.692630884     -925164.9556948062     -747459.5252719354     -580544.0500035116     -423763.6910365968     -276503.8912309008     -138188.7060478565     -8277.823876353226      113737.8404952803      228337.9488908582      335975.3245562105      437075.7676231347       532037.254868204      621232.8157960286      705012.6347912312      783705.5763496938      857620.5166692275
                    424      -9.08476940995064     -2001992.590645523     -1758521.692005818     -1530216.845211484     -1315773.971104562     -1114351.428872697     -925158.6953237648     -747453.2929650841     -580538.0045104949     -423758.5184365931     -276500.8461423553      -138187.831740504     -8277.816324585476      113738.3164313169      228340.8947828947      335980.1511235215       437080.366717781      532035.8122384059      621216.5220961533       704976.842347258      783646.7150445178      857536.0757115349
                    428     -9.602839931111621     -2002388.490529817     -1758519.921323123      -1530215.07452879     -1315772.200421867     -1114349.658190002     -925156.9246410709     -747451.5222823902     -580536.2338278011     -423756.7477540554     -276499.0756343396     -138186.1052707027     -8277.577251156297      113733.9834870867      228329.8616275229       335963.158961246       437057.871400016      532008.9017775338       621186.513806824      704944.3854923024      783612.1590602999      857497.6306775048
                    432     -7.207024301243584     -2002506.507787728     -1758607.192175185     -1530211.335743427     -1315768.461636506      -1114345.91940474     -925153.1858594407     -747447.7836019584     -580532.4971619056     -423753.0336551873     -276495.4651783545     -138183.0593712891     -8277.397033201807      113732.3147307394      228327.1055206414      335958.9250885969      437050.8146086652       531999.133296706      621177.5171696051      704936.6367572809      783605.5259751625      857493.6266072233
                    436     -5.514795023449893     -2002503.861553203     -1758688.231942798     -1530211.557842148     -1315765.815401981     -1114343.273170221      -925150.539625269      -747445.137383988     -580529.8515145025     -423750.4018497495     -276493.0361862966      -138182.021739315     -8277.397079376817      113732.1150870207      228327.2909028454      335959.9755757146      437052.3720339068      532000.9025260528      621179.5612186751      704938.8450356042      783607.9850807171      857496.2412915005
                    440      -6.25526330420849     -2002503.861553203     -1758742.609134574     -1530242.086126378     -1315765.815401982     -1114343.273170221      -925150.539625269      -747445.137383988     -580529.8515145025     -423750.4018497495     -276493.0361862966      -138182.021739315     -8277.397079376817      113732.1150870207      228327.2909028454      335959.9755757146      437052.3720339068      532000.9025260528      621179.5612186751      704938.8450356042      783607.9850807171      857496.2412915005
                    444     -6.860519007546938     -2002503.861553203      -1758776.57357078     -1530293.055018158     -1315766.139721726     -1114343.273170221      -925150.539625269      -747445.137383988     -580529.8515145025     -423750.4018497495     -276493.0361862966      -138182.021739315     -8277.397079376817      113732.1150870207      228327.2909028454      335959.9755757146      437052.3720339068      532000.9025260528      621179.5612186751      704938.8450356042      783607.9850807171      857496.2412915005
                    448     -7.372400371649032     -2002503.861553203     -1758804.227349793       -1530332.8791332     -1315785.336263235     -1114343.273186587      -925150.539625269      -747445.137383988     -580529.8515145025     -423750.4018497495     -276493.0361862966      -138182.021739315     -8277.397079376817      113732.1150870207      228327.2909028454      335959.9755757146      437052.3720339068      532000.9025260528      621179.5612186751      704938.8450356042      783607.9850807171      857496.2412915005
                    452     -7.815903957076902     -2002503.861553203     -1758824.018818659     -1530363.696332227      -1315819.42277889     -1114345.608895554     -925150.5474358622     -747445.1378017849     -580529.8515396898     -423750.4018509752     -276493.0361863261     -138182.0217393152     -8277.397079376817      113732.1150870207      228327.2909028454      335959.9755757146      437052.3720339068      532000.9025260528      621179.5612186751      704938.8450356042      783607.9850807171      857496.2412915005
                    456     -8.207163621502922     -2002503.861553203     -1758840.316801015      -1530389.28902843     -1315847.135224255     -1114363.445945005     -925150.7988594316     -747445.1556169443     -580529.8535911621     -423750.4020523247     -276493.0361960793       -138182.02173943     -8277.397079376871      113732.1150870207      228327.2909028455      335959.9755757147      437052.3720339069      532000.9025260529      621179.5612186752      704938.8450356043      783607.9850807172      857496.2412915006
                    460     -8.557200885205779     -2002503.861553203     -1758852.285665507     -1530409.049500674     -1315872.893832067     -1114387.217562901     -925157.5525984411     -747445.2335609846     -580529.8561553732     -423750.4021652654     -276493.0361989106     -138182.0217394484     -8277.397079376877      113732.1150870207      228327.2909028455      335959.9755757147      437052.3720339069      532000.9025260529      621179.5612186752      704938.8450356043      783607.9850807172      857496.2412915006
                    464     -8.731636556730386     -2002503.719309779       -1758862.6359579     -1530424.592607319     -1315891.522349525     -1114407.477941403     -925175.1592042869     -747449.3775541678     -580529.9951990864     -423750.3659024062     -276493.0776427182      -138182.234496613     -8277.414920567706      113732.2458140436      228327.4329713441      335960.1178182127      437052.5142773291      532001.0447694765      621179.7034620988      704938.9872790279      783608.1273241409      857496.3835349242
                    468     -7.010210496127481     -2002501.708754334     -1758866.226414906     -1530432.718605733     -1315901.793666463     -1114417.660370844     -925183.9414922558     -747454.2061946153     -580529.5165328205     -423749.1257601477     -276492.4151650497     -138182.4118711659     -8277.431524641328      113732.6328088668      228328.5395319061      335961.5649931908      437054.1541309986       532002.911136944      621181.6897147398      704940.9963945065      783610.1378503495       857498.394090154
