#! FIELDS time rct DeltaF_300 DeltaF_319.625 DeltaF_340.535 DeltaF_362.812 DeltaF_386.546 DeltaF_411.833 DeltaF_438.774 DeltaF_467.478 DeltaF_498.059 DeltaF_530.641 DeltaF_565.354 DeltaF_602.338 DeltaF_641.742 DeltaF_683.723 DeltaF_728.451 DeltaF_776.105 DeltaF_826.876 DeltaF_880.968 DeltaF_938.599 DeltaF_1000
#! SET print_stride  100
                    420                      0     -2000757.165026757     -1755055.512947909     -1524440.278919239     -1307985.153133715     -1104820.714345371     -914130.9521678914     -735150.0206277829     -567159.2333596922     -409484.3580094686     -261493.3725389798     -122594.6894461861      7765.942874731373      130111.3100453672      244934.0237962531      352699.7079435511      453846.4735471489      548782.1940864652      637888.5592453906      721523.5988751804      800023.3020633932
                    424     -10.06464396380099     -2001494.643980833     -1755043.886689316     -1524427.320216474     -1307972.194432312     -1104807.755677439     -914117.9941519613     -735137.0726088206     -567146.4015343123     -409472.4112255485     -261484.4893199568     -122590.0918268906      7765.654704077008      130107.1209834003      244926.1579912571      352687.4568468414      453825.9509998808      548746.1391179461      637830.3087032987       721436.226795118       799902.750924057
                    428     -13.01298512925205      -2001886.93178224     -1755108.874108104     -1524426.835427817     -1307971.709643655     -1104807.270888781     -914117.5093633035     -735136.5878201629     -567145.9167456647      -409471.926447004     -261484.0071051936     -122589.7224106926      7765.643362213334      130107.3430935443      244926.6252366937      352687.9413479089      453826.4357867719       548746.623906601      637830.7934919564      721436.7115837757      799903.2357127147
                    432     -15.02743972963665      -2002220.27881307     -1755273.023633698     -1524426.835427817     -1307971.709643655     -1104807.270888781     -914117.5093633035     -735136.5878201629     -567145.9167456647      -409471.926447004     -261484.0071051936     -122589.7224106926      7765.643362213334      130107.3430935443      244926.6252366937      352687.9413479089      453826.4357867719       548746.623906601      637830.7934919564      721436.7115837757      799903.2357127147
                    436     -16.45844760129277     -2002260.213062782     -1755543.764888676     -1524606.181725423     -1307971.724258147     -1104807.270888781     -914117.5093633035     -735136.5878201629     -567145.9167456647      -409471.926447004     -261484.0071051936     -122589.7224106926      7765.643362213334      130107.3430935443      244926.6252366937      352687.9413479089      453826.4357867719       548746.623906601      637830.7934919564      721436.7115837757      799903.2357127147
                    440     -17.56915002243065     -2002260.213062782      -1755655.98336107     -1524793.608542358     -1308160.155296961     -1104859.432837134     -914117.5097069265     -735136.5878201631     -567145.9167456647      -409471.926447004     -261484.0071051936     -122589.7224106926      7765.643362213334      130107.3430935443      244926.6252366937      352687.9413479089      453826.4357867719       548746.623906601      637830.7934919564      721436.7115837757      799903.2357127147
                    444     -18.47703357082315     -2002260.213062775     -1755709.643936368     -1524881.842853477      -1308279.20607998     -1105001.509867148     -914228.8804679727     -735188.4713693573      -567157.626246366     -409472.1570508867      -261484.008737885     -122589.7224164176      7765.643362215905      130107.3430935509      244926.6252367003      352687.9413479155      453826.4357867786      548746.6239066075      637830.7934919629      721436.7115837822      799903.2357127212
                    448     -9.554734222315204     -2002250.522941381     -1755717.693259571     -1524901.360705776     -1308302.727687606     -1105030.228422592       -914263.26530428     -735227.5156384686     -567199.8422470529     -409504.0415974439     -261501.9350538799     -122597.1761501483      7766.044839541944      130112.6329734792      244935.2051158795      352697.3521099595      453836.0217860584      548756.3005578625      637840.4831414415       721446.401701232       799912.925834102
                    452     -6.078889811579359     -2002246.381841593      -1755716.60115664     -1524902.010068927     -1308302.634650637     -1105030.494037902      -914261.212956817     -735224.8887323631     -567197.1319302088     -409501.6759960065     -261500.1124813862     -122596.6163154494      7766.042991857133      130112.8252897151       244936.360540578      352699.4777710103      453838.3859494947      548758.3395403449      637841.6460411589      721447.4761169172       799913.549898144
                    456     -5.366117052702959     -2002245.082179338     -1755717.728644853     -1524903.696791468     -1308304.390743385     -1105031.850131726     -914261.6064711288     -735224.2659749687     -567196.0125910931     -409500.4361988675     -261498.9645457406     -122595.7870098861      7765.970041192463       130111.656616029      244934.9124055081      352698.4227686818      453837.0522747952      548756.8583202759      637840.1943033029      721446.2431569617      799912.3910799072
                    460     -4.258755035509358     -2002243.449761423     -1755717.907821113         -1524903.86515     -1308304.360385868     -1105031.759807671     -914261.4188280632     -735223.5302517156     -567195.0654486903     -409499.4628551577     -261497.9623449447     -122595.2633983548      7765.946929420804      130111.4064575097      244934.5953350902      352698.1669003022       453836.679235631      548756.5265980231      637840.1508416153      721446.3195373991      799912.2977209061
                    464      -3.81328951299862     -2002242.529277259     -1755717.713811877     -1524904.172939876     -1308304.391721284     -1105031.521891543     -914261.2183078435     -735223.4775057487     -567195.2272357544     -409499.5001232543     -261498.0122664957     -122595.3741282669       7765.95693859434      130111.5212919322      244934.7234690107      352698.1843910097      453836.4322528002      548755.9171553492      637839.1959365291      721445.1529514554      799911.0887632085
                    468     -3.267062350629906      -2002241.54935602     -1755717.218870013     -1524903.679741341     -1308304.112543006     -1105031.132824981     -914261.0678026732     -735223.5705308234     -567195.4301788163     -409499.4603753076     -261497.9125294614     -122595.3536189133      7765.958318223294      130111.5511622496      244934.8201161691      352698.3489813976      453836.4891367976      548755.8577354458      637838.9715222551      721444.8840354847      799910.7573156403
                    472      -2.63512679076245     -2002240.518432758      -1755716.88724132      -1524903.23651292     -1308303.794453286     -1105030.770793909     -914260.8746723058     -735223.5183033212     -567195.2236432462        -409498.9502776      -261497.415767388     -122595.1037677667      7765.948991582425      130111.4708734655      244934.8081289569      352698.5205215342      453836.7141368343      548756.0628150541      637839.1858492065      721445.2319501153      799911.1929201882
